DATE,MORTGAGE30US
1971-04-01,7.33
1971-05-01,7.38
1971-06-01,7.52
1971-07-01,7.54
1971-08-01,7.66
1971-09-01,7.71
1971-10-01,7.67
1971-11-01,7.59
1971-12-01,7.49
1972-01-01,7.46
1972-02-01,7.35
1972-03-01,7.32
1972-04-01,7.25
1972-05-01,7.33
1972-06-01,7.36
1972-07-01,7.38
1972-08-01,7.35
1972-09-01,7.42
1972-10-01,7.41
1972-11-01,7.43
1972-12-01,7.45
1973-01-01,7.44
1973-02-01,7.43
1973-03-01,7.45
1973-04-01,7.51
1973-05-01,7.58
1973-06-01,7.7
1973-07-01,7.89
1973-08-01,8.26
1973-09-01,8.77
1973-10-01,8.82
1973-11-01,8.62
1973-12-01,8.53
1974-01-01,8.56
1974-02-01,8.48
1974-03-01,8.41
1974-04-01,8.44
1974-05-01,8.87
1974-06-01,9.06
1974-07-01,9.14
1974-08-01,9.47
1974-09-01,9.88
1974-10-01,10.02
1974-11-01,9.87
1974-12-01,9.69
1975-01-01,9.6
1975-02-01,9.2
1975-03-01,9
1975-04-01,8.83
1975-05-01,8.92
1975-06-01,8.89
1975-07-01,8.88
1975-08-01,8.89
1975-09-01,9.08
1975-10-01,9.2
1975-11-01,9.19
1975-12-01,9.11
1976-01-01,9.1
1976-02-01,8.86
1976-03-01,8.77
1976-04-01,8.7
1976-05-01,8.75
1976-06-01,8.78
1976-07-01,8.93
1976-08-01,9
1976-09-01,9
1976-10-01,8.9
1976-11-01,8.85
1976-12-01,8.8
1977-01-01,8.7
1977-02-01,8.68
1977-03-01,8.65
1977-04-01,8.7
1977-05-01,8.78
1977-06-01,8.85
1977-07-01,8.95
1977-08-01,8.95
1977-09-01,8.88
1977-10-01,8.93
1977-11-01,8.9
1977-12-01,8.95
1978-01-01,9
1978-02-01,9.13
1978-03-01,9.15
1978-04-01,9.28
1978-05-01,9.48
1978-06-01,9.68
1978-07-01,9.73
1978-08-01,9.78
1978-09-01,9.75
1978-10-01,9.85
1978-11-01,9.9
1978-12-01,10.3
1979-01-01,10.38
1979-02-01,10.4
1979-03-01,10.43
1979-04-01,10.48
1979-05-01,10.6
1979-06-01,10.9
1979-07-01,11.13
1979-08-01,11.08
1979-09-01,11.2
1979-10-01,11.35
1979-11-01,12.8
1979-12-01,12.9
1980-01-01,12.85
1980-02-01,12.85
1980-03-01,14
1980-04-01,16.35
1980-05-01,15.9
1980-06-01,13.06
1980-07-01,12.18
1980-08-01,12.25
1980-09-01,13.03
1980-10-01,13.6
1980-11-01,14.08
1980-12-01,14.43
1981-01-01,14.95
1981-02-01,15
1981-03-01,15.4
1981-04-01,15.4
1981-05-01,15.82
1981-06-01,16.76
1981-07-01,16.64
1981-08-01,17.13
1981-09-01,17.79
1981-10-01,18.28
1981-11-01,18.37
1981-12-01,16.9
1982-01-01,17.3
1982-02-01,17.56
1982-03-01,17.29
1982-04-01,16.95
1982-05-01,16.78
1982-06-01,16.65
1982-07-01,16.87
1982-08-01,16.55
1982-09-01,15.59
1982-10-01,15.13
1982-11-01,13.91
1982-12-01,13.66
1983-01-01,13.46
1983-02-01,13.06
1983-03-01,12.74
1983-04-01,12.82
1983-05-01,12.71
1983-06-01,12.74
1983-07-01,13.08
1983-08-01,13.73
1983-09-01,13.77
1983-10-01,13.59
1983-11-01,13.42
1983-12-01,13.41
1984-01-01,13.43
1984-02-01,13.26
1984-03-01,13.23
1984-04-01,13.63
1984-05-01,13.78
1984-06-01,14.29
1984-07-01,14.66
1984-08-01,14.68
1984-09-01,14.42
1984-10-01,14.18
1984-11-01,13.85
1984-12-01,13.2
1985-01-01,13.1
1985-02-01,12.93
1985-03-01,13.02
1985-04-01,13.27
1985-05-01,13.07
1985-06-01,12.39
1985-07-01,12.13
1985-08-01,12.17
1985-09-01,12.15
1985-10-01,12.17
1985-11-01,12.01
1985-12-01,11.5
1986-01-01,10.81
1986-02-01,10.85
1986-03-01,10.2
1986-04-01,9.99
1986-05-01,9.9
1986-06-01,10.74
1986-07-01,10.61
1986-08-01,10.4
1986-09-01,9.9
1986-10-01,10.08
1986-11-01,9.83
1986-12-01,9.3
1987-01-01,9.37
1987-02-01,9.06
1987-03-01,9.03
1987-04-01,9.26
1987-05-01,10.47
1987-06-01,10.7
1987-07-01,10.36
1987-08-01,10.35
1987-09-01,10.63
1987-10-01,11.18
1987-11-01,10.79
1987-12-01,10.6
1988-01-01,10.5
1988-02-01,9.94
1988-03-01,9.85
1988-04-01,10.05
1988-05-01,10.32
1988-06-01,10.58
1988-07-01,10.39
1988-08-01,10.44
1988-09-01,10.65
1988-10-01,10.38
1988-11-01,10.12
1988-12-01,10.44
1989-01-01,10.8
1989-02-01,10.55
1989-03-01,10.91
1989-04-01,11.07
1989-05-01,10.97
1989-06-01,10.48
1989-07-01,10.03
1989-08-01,9.68
1989-09-01,10.22
1989-10-01,10.1
1989-11-01,9.82
1989-12-01,9.74
1990-01-01,9.83
1990-02-01,10.17
1990-03-01,10.23
1990-04-01,10.26
1990-05-01,10.67
1990-06-01,10.29
1990-07-01,10.06
1990-08-01,9.84
1990-09-01,10.19
1990-10-01,10.08
1990-11-01,10.13
1990-12-01,9.81
1991-01-01,9.56
1991-02-01,9.56
1991-03-01,9.4
1991-04-01,9.49
1991-05-01,9.47
1991-06-01,9.48
1991-07-01,9.62
1991-08-01,9.44
1991-09-01,9.14
1991-10-01,8.87
1991-11-01,8.78
1991-12-01,8.62
1992-01-01,8.24
1992-02-01,8.67
1992-03-01,8.85
1992-04-01,8.96
1992-05-01,8.84
1992-06-01,8.59
1992-07-01,8.29
1992-08-01,8.06
1992-09-01,7.94
1992-10-01,7.93
1992-11-01,8.29
1992-12-01,8.34
